stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
01405,DPC Dash Ltd,2023-03-28,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0316/2023031600013.pdf,,2023-03-16 06:11:00,pdfs/01405/prospectus_0.pdf,True
01405,DPC Dash Ltd,2023-03-28,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0316/10633229/2023031600039.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0316/2023031600034.htm,2023-03-16 06:28:00,pdfs/01405/prospectus_1.pdf,True
01405,DPC Dash Ltd,2023-03-28,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0316/2023031600103.pdf,,2023-03-16 06:31:00,pdfs/01405/prospectus_2.pdf,True
01405,DPC Dash Ltd,2023-03-28,allotment,Announcements and Notices - [Allotment Results] - Announcement of Offer Price and Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0327/10646031/2023032700032.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0327/2023032700030.htm,2023-03-27 06:27:00,pdfs/01405/allotment_0.pdf,True
01405,DPC Dash Ltd,2023-03-28,over_allotment_exercise,Announcements and Notices - [Other - Miscellaneous] - PARTIAL EXERCISE OF THE OVER-ALLOTMENT OPTION,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0403/2023040304079.pdf,,2023-04-03 22:47:00,pdfs/01405/over_allotment_exercise_0.pdf,True
01405,DPC Dash Ltd,2023-03-28,stabilization,Announcements and Notices - [Other - Miscellaneous] - STABILIZING ACTIONS AND END OF STABILIZATION PERIOD,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0420/2023042000559.pdf,,2023-04-20 16:40:00,pdfs/01405/stabilization_0.pdf,True
02409,Seacon Shipping Group Holdings Limited,2023-03-29,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0314/2023031400009.pdf,,2023-03-14 06:12:00,pdfs/02409/prospectus_0.pdf,True
02409,Seacon Shipping Group Holdings Limited,2023-03-29,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0314/2023031400019.pdf,,2023-03-14 06:18:00,pdfs/02409/prospectus_1.pdf,True
02409,Seacon Shipping Group Holdings Limited,2023-03-29,allotment,Announcements and Notices - [Allotment Results] - IPO Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0328/10648100/2023032800040.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0328/2023032800038.htm,2023-03-28 06:24:00,pdfs/02409/allotment_0.pdf,True
02409,Seacon Shipping Group Holdings Limited,2023-03-29,over_allotment_exercise,,,,,,False
